"Ticker","Nome","Negócios","Última (R$)","Variação"
"COGN3","Cogna","32.309.100","3,16","-4,53%"
"BBDC4","Banco Bradesco","32.063.000","17,09","-1,61%"
"CSAN3","Cosan","30.777.100","5,97","-3,08%"
"BBAS3","Banco do Brasil","29.996.100","21,76","-0,78%"
"B3SA3","B3","28.021.800","12,84","-1,91%"
"RAIZ4","Raízen","27.263.900","1,01","-1,94%"
"ABEV3","Ambev","25.828.200","11,93","-0,50%"
"PETR4","Petrobras","25.497.100","31,08","-0,96%"
"RAIL3","Rumo","23.100.700","15,90","+1,02%"
"MGLU3","Magazine Luiza","21.749.000","9,16","-4,58%"
"AZUL4","Azul","21.083.600","1,17","-4,10%"
"ITSA4","Itaúsa","20.020.900","11,16","-1,24%"
"VAMO3","Grupo Vamos","18.836.300","3,27","-1,21%"
"ASAI3","Assaí","17.285.700","9,26","-1,70%"
"AMBP3","Ambipar","17.124.600","2,75","-61,48%"
"RENT3","Localiza","16.675.500","38,78","-3,00%"
"ITUB4","Itaú Unibanco","16.596.700","37,93","-1,10%"
"PCAR3","Grupo Pão de Açúcar","14.881.800","3,90","-6,92%"
"VALE3","Vale","14.824.500","58,70","+0,67%"
"CVCB3","CVC","12.731.400","1,80","-4,26%"
"POMO4","Marcopolo","12.303.300","8,78","+1,62%"
"MBRF3","Marfrig","11.808.600","18,87","-2,83%"
"GGBR4","Gerdau","11.154.800","17,17","+1,24%"
"ENEV3","Eneva","10.914.500","16,53","-1,55%"
"CPLE6","Copel","10.695.000","12,61","-1,94%"
"UGPA3","Ultrapar","10.592.000","21,20","-0,05%"
"AZTE3","AZT Energia","10.335.500","0,43","+7,50%"
"BEEF3","Minerva","10.099.400","6,77","-0,15%"
"PETR3","Petrobras","9.953.500","33,32","-1,24%"
"OIBR3","Oi","9.628.600","0,40","+0,00%"
"LREN3","Lojas Renner","9.441.900","14,80","-2,31%"
"AZEV4","Azevedo & Travassos","9.022.700","0,47","+14,63%"
"CMIG4","Cemig","8.693.200","10,81","+0,09%"
"NATU3","NATURA","8.535.700","9,02","-1,85%"
"WEGE3","WEG","8.501.800","36,13","+0,95%"
"EQTL3","Equatorial Energia","7.774.900","36,25","-1,28%"
"VBBR3","Vibra Energia","7.665.800","23,83","-1,37%"
"MRVE3","MRV","7.446.400","7,21","-2,57%"
"EMBR3","Embraer","7.228.200","75,71","-5,82%"
"MOTV3","Motiva","7.151.300","14,39","-2,64%"
"STBP3","Santos Brasil","6.936.100","14,42","+0,00%"
"RAPT4","Randon","6.688.500","5,84","-4,11%"
"SIMH3","Simpar","6.671.700","4,82","-3,98%"
"CSNA3","Siderúrgica Nacional","6.599.600","8,16","-0,61%"
"KLBN11","Klabin","6.418.700","18,11","-0,71%"
"USIM5","Usiminas","6.214.200","4,37","-0,46%"
"BBDC3","Banco Bradesco","6.043.200","14,71","-1,41%"
"CYRE3","Cyrela","5.590.600","30,41","-1,07%"
"RADL3","RaiaDrogasil","5.508.400","18,02","-1,21%"
"CPLE3","Copel","5.504.100","11,84","-2,15%"
"ONCO3","Oncoclínicas","5.419.100","3,37","-0,88%"
"LJQQ3","Lojas Quero-Quero","5.357.800","2,15","-5,29%"
"HBOR3","Helbor","5.326.000","3,66","+1,10%"
"SUZB3","Suzano","5.306.000","50,10","+0,42%"
"DIRR3","Direcional","5.202.200","15,86","-1,92%"
"YDUQ3","YDUQS","5.183.800","12,35","-3,06%"
"CASH3","Méliuz","4.909.600","3,99","-3,16%"
"AZEV3","Azevedo & Travassos","4.897.900","0,44","+10,00%"
"BBSE3","BB Seguridade","4.818.200","33,08","-0,99%"
"GOAU4","Metalúrgica Gerdau","4.813.100","9,85","+1,03%"
"BPAC11","Banco BTG Pactual","4.768.900","47,24","-1,21%"
"PRIO3","PetroRio","4.559.000","38,30","-0,23%"
"ECOR3","EcoRodovias","4.427.800","7,61","-2,19%"
"SMFT3","Smart Fit","4.420.400","25,34","-3,43%"
"BRAV3","3R Petroleum","4.331.900","17,72","-1,94%"
"KLBN4","Klabin","4.253.600","3,62","-0,28%"
"PETZ3","Petz","4.216.000","3,76","-0,53%"
"PGMN3","Pague Menos","4.203.300","3,60","+0,00%"
"CEAB3","C&A","4.145.800","15,80","-3,07%"
"BRKM5","Braskem","4.119.100","6,65","-3,20%"
"LWSA3","Locaweb","4.053.400","4,16","-3,26%"
"JHSF3","JHSF","4.048.800","6,35","-1,85%"
"TRIS3","Trisul","3.983.800","7,17","-2,71%"
"ELET3","Eletrobras","3.971.500","52,40","-0,80%"
"AZZA3","Arezzo","3.961.500","28,03","-5,14%"
"HAPV3","Hapvida","3.960.600","35,55","+0,20%"
"MULT3","Multiplan","3.789.800","28,30","-1,91%"
"CMIN3","CSN Mineração","3.735.300","5,54","-1,25%"
"VIVA3","Vivara","3.729.100","28,34","-2,41%"
"ANIM3","Ânima Educação","3.675.900","3,22","-3,88%"
"TIMS3","TIM","3.674.500","23,21","-0,60%"
"BHIA3","Casas Bahia","3.524.100","3,61","-4,24%"
"RDOR3","Rede D'Or","3.452.200","41,54","+0,00%"
"FLRY3","Fleury","3.356.300","16,00","+0,25%"
"GGPS3","GPS","3.345.600","19,09","-0,68%"
"CXSE3","Caixa Seguridade","3.226.800","14,98","-1,25%"
"CBAV3","CBA","3.111.600","3,59","+1,70%"
"AURE3","Auren Energia","3.089.900","10,09","+0,10%"
"SBSP3","Sabesp","3.056.400","127,27","-2,96%"
"MOVI3","Movida","3.044.300","8,70","-4,61%"
"SRNA3","Serena Energia","2.869.000","12,35","+0,08%"
"AMER3","Americanas","2.827.600","6,17","+0,98%"
"RCSL4","Recrusul","2.823.700","1,10","+0,00%"
"INTB3","Intelbras","2.686.400","11,61","-1,78%"
"GMAT3","Grupo Mateus","2.585.400","6,84","-0,73%"
"SANB11","Banco Santander","2.447.400","28,89","-0,21%"
"IFCM3","Infracommerce","2.413.400","0,19","-5,00%"
"ALOS3","Allos","2.339.700","25,22","-1,52%"
"CURY3","Cury","2.206.200","33,00","-2,40%"
"DXCO3","Dexco","2.200.600","5,56","-2,97%"
"ENGI11","Energisa","2.176.200","49,90","-1,29%"
"QUAL3","Qualicorp","2.141.600","2,40","-3,23%"
"ALPA4","Alpargatas","2.140.100","9,45","-1,25%"
"SBFG3","Grupo SBF","2.073.700","12,59","-4,84%"
"GRND3","Grendene","1.988.000","5,12","-1,35%"
"HYPE3","Hypera","1.963.900","22,94","-0,48%"
"DASA3","Dasa","1.885.900","1,38","+2,22%"
"VIVT3","Vivo","1.829.400","33,27","-1,80%"
"RECV3","PetroRecôncavo","1.782.800","12,39","-2,13%"
"ARML3","Armac","1.773.500","3,43","-6,28%"
"ODPV3","Odontoprev","1.761.400","13,11","-1,50%"
"IGTI11","Iguatemi","1.756.900","23,89","-1,61%"
"IGTI11","Jereissati Participações","1.756.900","23,89","-1,61%"
"MYPK3","Iochpe-Maxion","1.729.800","11,49","-1,37%"
"NEOE3","Neoenergia","1.700.200","27,94","-0,50%"
"SMTO3","São Martinho","1.687.200","17,04","-0,93%"
"HBSA3","Hidrovias do Brasil","1.643.100","3,40","+0,59%"
"EZTC3","EZTEC","1.636.200","16,20","-1,04%"
"VVEO3","Viveo","1.601.200","1,35","+5,47%"
"SYNE3","SYN","1.593.100","5,35","+1,71%"
"ISAE4","ISA Energia","1.558.800","24,77","-0,60%"
"CSMG3","COPASA","1.519.500","33,94","-1,05%"
"MLAS3","Multilaser","1.508.000","1,03","-2,83%"
"RANI3","Irani","1.507.800","8,82","+0,23%"
"TOTS3","Totvs","1.451.200","43,87","-2,12%"
"LIGT3","Light","1.366.800","5,45","-4,22%"
"TEND3","Construtora Tenda","1.363.200","25,55","-1,92%"
"PDGR3","PDG Realty","1.339.800","0,13","+0,00%"
"JALL3","Jalles Machado","1.315.100","2,75","-0,72%"
"TOKY3","TOKY3","1.300.900","0,98","+1,03%"
"BRAP4","Bradespar","1.297.600","17,16","+0,82%"
"BPAN4","Banco Pan","1.248.800","7,84","+1,03%"
"ORVR3","Orizon","1.243.200","55,33","-1,07%"
"TAEE11","Taesa","1.219.500","36,50","-1,16%"
"SHUL4","Schulz","1.210.200","4,60","-2,54%"
"SAPR4","Sanepar","1.182.700","7,01","-1,68%"
"MDNE3","Moura Dubeux","1.182.000","28,09","-2,97%"
"GUAR3","Guararapes","1.180.100","9,25","-2,94%"
"SLCE3","SLC Agrícola","1.091.100","16,34","-0,49%"
"BRSR6","Banrisul","1.033.500","12,08","+0,83%"
"KEPL3","Kepler Weber","1.027.800","7,30","-0,68%"
"PSSA3","Porto Seguro","996.900","48,86","-0,49%"
"SAPR11","Sanepar","984.900","35,95","-1,43%"
"MILS3","Mills","976.300","11,79","-1,17%"
"MELK3","Melnick","974.900","3,95","-3,89%"
"MDIA3","M. Dias Branco","973.600","28,49","-0,49%"
"ITUB3","Itaú Unibanco","941.300","33,64","-0,97%"
"SEER3","Ser Educacional","936.300","10,99","-3,85%"
"TUPY3","Tupy","927.200","12,90","-2,64%"
"TFCO4","Track & Field","918.100","16,81","-1,87%"
"ALUP11","Alupar","911.200","31,59","-0,50%"
"POSI3","Positivo","897.600","4,33","-2,26%"
"ELET6","Eletrobras","882.500","55,30","-0,81%"
"EVEN3","Even","872.500","7,56","-3,32%"
"PLPL3","Plano&Plano","866.500","16,50","-4,84%"
"TTEN3","3tentos","862.700","13,60","-1,95%"
"CAML3","Camil Alimentos","803.000","4,94","-1,20%"
"IRBR3","IRB Brasil RE","787.400","48,43","-2,63%"
"ZAMP3","Zamp","778.300","3,50","-0,28%"
"VULC3","Vulcabras","769.400","19,44","-2,46%"
"KLBN3","Klabin","734.100","3,63","-1,63%"
"JSLG3","JSL","704.600","6,35","-0,78%"
"GFSA3","Gafisa","676.000","8,10","-2,41%"
"CPFE3","CPFL Energia","647.600","38,28","-1,39%"
"BMGB4","Banco BMG","632.300","3,91","-2,49%"
"EGIE3","Engie","628.800","40,58","-1,10%"
"CSED3","Cruzeiro do Sul Educacional","619.000","4,94","+1,23%"
"LAVV3","Lavvi Incorporadora","587.100","14,38","-2,84%"
"PORT3","Wilson Sons","550.800","18,26","+0,05%"
"FIQE3","Unifique","533.700","4,46","-1,98%"
"HBRE3","HBR Realty","522.400","4,66","-1,27%"
"MEAL3","IMC Alimentação","516.700","1,30","-1,52%"
"USIM3","Usiminas","500.400","4,42","+0,23%"
"MTRE3","Mitre Realty","482.200","3,77","-1,82%"
"ESPA3","Espaçolaser","449.900","1,16","-4,13%"
"PINE4","Banco Pine","438.200","8,35","+0,00%"
"DESK3","Desktop","430.800","10,34","+0,39%"
"BMOB3","Bemobi","402.800","22,00","-3,85%"
"OPCT3","OceanPact","402.100","7,61","-1,55%"
"SOJA3","Boa Safra Sementes","400.400","10,52","-2,14%"
